league,season,team,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,
ESP-La Liga,9192,Osasuna,23,26.5,,38,,3420,38,,,,,,,75,,,,,,,/en/squads/03c57e2b/1991-1992/Osasuna-Stats
ESP-La Liga,9192,Oviedo,23,27.5,,38,,3420,38,,,,,,,78,,,,,,,/en/squads/ab358912/1991-1992/Oviedo-Stats
ESP-La Liga,9192,Real Burgos,22,27.5,,38,,3420,38,,,,,,,109,,,,,,,/en/squads/fde10d5a/1991-1992/Real-Burgos-Stats
ESP-La Liga,9192,Real Madrid,20,27.0,,38,,3420,38,,,,,,,57,,,,,,,/en/squads/53a2f082/1991-1992/Real-Madrid-Stats
ESP-La Liga,9192,Real Sociedad,24,27.0,,38,,3420,38,,,,,,,56,,,,,,,/en/squads/e31d1cd9/1991-1992/Real-Sociedad-Stats
ESP-La Liga,9192,Sevilla,20,25.8,,38,,3420,38,,,,,,,89,,,,,,,/en/squads/ad2be733/1991-1992/Sevilla-Stats
ESP-La Liga,9192,Sporting Gijón,23,24.7,,38,,3420,38,,,,,,,69,,,,,,,/en/squads/bb9efd50/1991-1992/Sporting-Gijon-Stats
ESP-La Liga,9192,Tenerife,21,26.0,,38,,3420,38,,,,,,,89,,,,,,,/en/squads/27cc9c62/1991-1992/Tenerife-Stats
ESP-La Liga,9192,Valencia,18,26.9,,38,,3420,38,,,,,,,80,,,,,,,/en/squads/dcc91a7b/1991-1992/Valencia-Stats
ESP-La Liga,9192,Valladolid,32,25.6,,38,,3420,38,,,,,,,98,,,,,,,/en/squads/17859612/1991-1992/Valladolid-Stats
ESP-La Liga,9192,Zaragoza,21,25.1,,38,,3420,38,,,,,,,91,,,,,,,/en/squads/800303a0/1991-1992/Zaragoza-Stats
ESP-La Liga,9293,Albacete,24,24.9,,38,,3420,38,,,,,,,84,,,,,,,/en/squads/b7e3e46e/1992-1993/Albacete-Stats
ESP-La Liga,9293,Athletic Club,22,23.8,,38,,3420,38,,,,,,,77,,,,,,,/en/squads/2b390eca/1992-1993/Athletic-Club-Stats
ESP-La Liga,9293,Atlético Madrid,26,26.4,,38,,3420,38,,,,,,,115,,,,,,,/en/squads/db3b9613/1992-1993/Atletico-Madrid-Stats
ESP-La Liga,9293,Barcelona,22,26.9,,38,,3420,38,,,,,,,78,,,,,,,/en/squads/206d90db/1992-1993/Barcelona-Stats
ESP-La Liga,9293,Celta Vigo,23,26.0,,38,,3420,38,,,,,,,97,,,,,,,/en/squads/f25da7fb/1992-1993/Celta-Vigo-Stats
ESP-La Liga,9293,Cádiz,23,25.8,,38,,3420,38,,,,,,,86,,,,,,,/en/squads/ee7c297c/1992-1993/Cadiz-Stats
ESP-La Liga,9293,Dep La Coruña,22,26.6,,38,,3420,38,,,,,,,76,,,,,,,/en/squads/2a60ed82/1992-1993/Deportivo-La-Coruna-Stats
ESP-La Liga,9293,Espanyol,25,25.9,,38,,3420,38,,,,,,,93,,,,,,,/en/squads/a8661628/1992-1993/Espanyol-Stats
ESP-La Liga,9293,Logroñés,26,27.0,,38,,3420,38,,,,,,,89,,,,,,,/en/squads/696c8d95/1992-1993/Logrones-Stats
