,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Home_GoalsScored_Last5,Home_GoalsConceded_Last5,Away_GoalsScored_Last5,Away_GoalsConceded_Last5
101,Sevilla,La Coruna,0,0,D,0.0,0.0,D,0.4,2.2,1.8,1.2
102,Valencia,Ath Bilbao,3,1,H,2.0,0.0,H,1.6,1.6,0.8,1.2
103,Tenerife,Oviedo,3,3,D,1.0,0.0,H,1.0,1.4,0.8,2.4
104,Sp Gijon,Valladolid,4,2,H,1.0,2.0,A,1.0,0.8,1.6,1.0
105,Sociedad,Vallecano,2,1,H,1.0,0.0,H,1.2,1.6,1.6,1.8
106,Espanol,Celta,2,2,D,1.0,0.0,H,1.0,0.4,1.2,1.4
107,Ath Madrid,Merida,1,1,D,0.0,1.0,A,1.4,0.2,1.2,0.8
108,Santander,Zaragoza,0,0,D,0.0,0.0,D,1.2,1.4,0.8,0.8
109,Salamanca,Betis,2,1,H,1.0,1.0,D,1.2,1.2,1.6,1.2
110,Real Madrid,Sociedad,3,2,H,1.0,0.0,H,2.0,1.2,1.4,1.6
111,Zaragoza,Ath Madrid,0,1,A,0.0,0.0,D,0.6,0.8,1.6,0.4
112,Valencia,Compostela,5,2,H,2.0,1.0,H,1.8,1.2,1.6,1.8
113,Vallecano,Santander,1,2,A,0.0,1.0,A,1.2,1.8,1.2,1.2
114,Valladolid,Sevilla,3,3,D,2.0,2.0,D,1.4,1.8,0.4,2.2
115,Oviedo,Albacete,1,0,H,0.0,0.0,D,1.4,2.8,1.2,1.4
116,La Coruna,Espanol,0,1,A,0.0,0.0,D,0.8,1.2,1.2,0.8
117,Betis,Tenerife,3,3,D,2.0,1.0,H,1.6,1.6,1.6,1.4
118,Barcelona,Salamanca,4,1,H,3.0,0.0,H,3.0,1.0,1.6,1.4
119,Ath Bilbao,Celta,3,0,H,2.0,0.0,H,0.6,1.6,1.4,1.6
120,Merida,Sp Gijon,1,0,H,1.0,0.0,H,1.4,1.0,1.6,0.8
121,Celta,La Coruna,0,0,D,0.0,0.0,D,1.2,1.8,0.6,1.0
122,Tenerife,Barcelona,1,1,D,0.0,1.0,A,2.0,2.0,3.0,1.0
123,Sp Gijon,Zaragoza,4,1,H,3.0,0.0,H,1.0,0.8,0.4,1.0
124,Sociedad,Oviedo,1,1,D,1.0,0.0,H,1.4,2.0,1.4,2.0
125,Sevilla,Merida,3,0,H,1.0,0.0,H,0.8,2.2,1.6,0.8
126,Santander,Real Madrid,2,0,H,2.0,0.0,H,1.2,1.2,2.0,0.8
127,Espanol,Valladolid,2,0,H,2.0,0.0,H,1.2,0.4,1.6,1.6
128,Compostela,Ath Bilbao,2,1,H,0.0,1.0,A,1.8,2.8,1.2,1.6
129,Ath Madrid,Vallecano,0,0,D,0.0,0.0,D,1.4,0.2,1.4,2.0
130,Albacete,Betis,0,0,D,0.0,0.0,D,0.4,1.2,2.2,2.2
131,Salamanca,Valencia,4,0,H,2.0,0.0,H,1.8,2.0,2.0,1.0
132,Barcelona,Albacete,3,0,H,1.0,0.0,H,2.2,1.0,0.2,1.0
133,Betis,Sociedad,3,1,H,1.0,0.0,H,2.0,1.2,1.6,1.6
134,Real Madrid,Ath Madrid,1,0,H,1.0,0.0,H,1.6,1.0,0.8,0.2
